Nombre Completo;Cuenta;Telefono;Plan;Descripcion Plan;Simcard
PRECISOGPS S.A.S.;1.20013636;991909611;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891057'
PRECISOGPS S.A.S.;1.20013636;991909690;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891065'
PRECISOGPS S.A.S.;1.20013636;991910206;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891073'
PRECISOGPS S.A.S.;1.20013636;991910359;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891081'
PRECISOGPS S.A.S.;1.20013636;991910406;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891099'
PRECISOGPS S.A.S.;1.20013636;991910474;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891107'
PRECISOGPS S.A.S.;1.20013636;991910679;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891115'
PRECISOGPS S.A.S.;1.20013636;991910718;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891123'
PRECISOGPS S.A.S.;1.20013636;991910918;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891149'
PRECISOGPS S.A.S.;1.20013636;991911254;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891156'
PRECISOGPS S.A.S.;1.20013636;991911674;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891164'
PRECISOGPS S.A.S.;1.20013636;991911703;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891172'
PRECISOGPS S.A.S.;1.20013636;991911762;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891180'
PRECISOGPS S.A.S.;1.20013636;994500529;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891198'
PRECISOGPS S.A.S.;1.20013636;994501293;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891214'
PRECISOGPS S.A.S.;1.20013636;994501689;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891222'
PRECISOGPS S.A.S.;1.20013636;994502669;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891230'
PRECISOGPS S.A.S.;1.20013636;994502726;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891248'
PRECISOGPS S.A.S.;1.20013636;994502868;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891255'
PRECISOGPS S.A.S.;1.20013636;994502894;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891263'
PRECISOGPS S.A.S.;1.20013636;994503210;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891289'
PRECISOGPS S.A.S.;1.20013636;994503683;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891305'
PRECISOGPS S.A.S.;1.20013636;994504152;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891313'
PRECISOGPS S.A.S.;1.20013636;994504623;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891339'
PRECISOGPS S.A.S.;1.20013636;994504628;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891347'
PRECISOGPS S.A.S.;1.20013636;994504691;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891362'
PRECISOGPS S.A.S.;1.20013636;994504926;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891388'
PRECISOGPS S.A.S.;1.20013636;994505900;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891396'
PRECISOGPS S.A.S.;1.20013636;994506436;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891529'
PRECISOGPS S.A.S.;1.20013636;994509027;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891537'
PRECISOGPS S.A.S.;1.20013636;994509097;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891545'
PRECISOGPS S.A.S.;1.20013636;994509280;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891552'
PRECISOGPS S.A.S.;1.20013636;994509516;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891560'
PRECISOGPS S.A.S.;1.20013636;994509764;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891578'
PRECISOGPS S.A.S.;1.20013636;994510732;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891586'
PRECISOGPS S.A.S.;1.20013636;994510982;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891594'
PRECISOGPS S.A.S.;1.20013636;994511376;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891602'
PRECISOGPS S.A.S.;1.20013636;994514140;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891628'
PRECISOGPS S.A.S.;1.20013636;994516169;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891636'
PRECISOGPS S.A.S.;1.20013636;994518685;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891651'
PRECISOGPS S.A.S.;1.20013636;994518809;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891669'
PRECISOGPS S.A.S.;1.20013636;994518890;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891677'
PRECISOGPS S.A.S.;1.20013636;994521681;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891685'
PRECISOGPS S.A.S.;1.20013636;994522271;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891693'
PRECISOGPS S.A.S.;1.20013636;994522513;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891701'
PRECISOGPS S.A.S.;1.20013636;994523074;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891719'
PRECISOGPS S.A.S.;1.20013636;994525134;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891727'
PRECISOGPS S.A.S.;1.20013636;994527115;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891743'
PRECISOGPS S.A.S.;1.20013636;994528719;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891768'
PRECISOGPS S.A.S.;1.20013636;994528997;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891776'
PRECISOGPS S.A.S.;1.20013636;994529975;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891784'
PRECISOGPS S.A.S.;1.20013636;994531308;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891800'
PRECISOGPS S.A.S.;1.20013636;994531764;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891818'
PRECISOGPS S.A.S.;1.20013636;994532660;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891826'
PRECISOGPS S.A.S.;1.20013636;994534045;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891842'
PRECISOGPS S.A.S.;1.20013636;994534741;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891859'
PRECISOGPS S.A.S.;1.20013636;994535103;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891867'
PRECISOGPS S.A.S.;1.20013636;994536083;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891883'
PRECISOGPS S.A.S.;1.20013636;994537831;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891891'
PRECISOGPS S.A.S.;1.20013636;992462677;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891404'
PRECISOGPS S.A.S.;1.20013636;994490386;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891412'
PRECISOGPS S.A.S.;1.20013636;994491394;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891420'
PRECISOGPS S.A.S.;1.20013636;994491406;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891438'
PRECISOGPS S.A.S.;1.20013636;994491954;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891453'
PRECISOGPS S.A.S.;1.20013636;994492664;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891461'
PRECISOGPS S.A.S.;1.20013636;994492668;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891479'
PRECISOGPS S.A.S.;1.20013636;994493496;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891487'
PRECISOGPS S.A.S.;1.20013636;994493545;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891495'
PRECISOGPS S.A.S.;1.20013636;994493710;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891503'
PRECISOGPS S.A.S.;1.20013636;994494205;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001049891511'
PRECISOGPS S.A.S.;1.20013636;991060280;BP-10680;EMPRESA BAM 20;'8959301001054934529'
PRECISOGPS S.A.S.;1.20013636;991060203;BP-10680;EMPRESA BAM 20;'8959301001054934545'
PRECISOGPS S.A.S.;1.20013636;991060748;BP-10680;EMPRESA BAM 20;'8959301001058215404'
PRECISOGPS S.A.S.;1.20013636;991060730;BP-10680;EMPRESA BAM 20;'8959301001058215412'
PRECISOGPS S.A.S.;1.20013636;991060646;BP-10680;EMPRESA BAM 20;'8959301001058215420'
PRECISOGPS S.A.S.;1.20013636;991060213;BP-10680;EMPRESA BAM 20;'8959301001063287026'
PRECISOGPS S.A.S.;1.20013636;991059881;BP-10680;EMPRESA BAM 20;'8959301001063208014'
PRECISOGPS S.A.S.;1.20013636;991060433;BP-10680;EMPRESA BAM 20;'8959301001063287034'
;;;;;
